,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,itaberai,-16.0203,-49.8103,71.31,74,12,4.0,BR,1634962556
1,puerto ayora,-0.7393,-90.3518,69.96,86,37,7.0,EC,1634962556
2,borba,-4.3878,-59.5939,76.84,80,97,2.42,BR,1634962557
3,phan thiet,10.9333,108.1,86.49,65,91,2.75,VN,1634962505
4,iqaluit,63.7506,-68.5145,26.33,86,90,8.01,CA,1634962557
5,punta arenas,-53.15,-70.9167,37.51,81,0,29.93,CL,1634962557
6,port hedland,-20.3167,118.5667,102.25,11,1,17.27,AU,1634962558
7,saint-philippe,-21.3585,55.7679,82.47,80,36,8.23,RE,1634962558
8,hobart,-42.8794,147.3294,56.01,89,75,6.91,AU,1634962386
9,whitianga,-36.8333,175.7,61.02,82,100,16.13,NZ,1634962476
10,katoro,-3.0203,31.8958,65.59,85,64,2.84,TZ,1634962558
11,rodeo,38.033,-122.2669,59.27,89,1,3.0,US,1634962559
12,busselton,-33.65,115.3333,70.09,53,0,6.76,AU,1634962559
13,carnarvon,-24.8667,113.6333,78.87,53,0,20.71,AU,1634962559
14,deputatskiy,69.3,139.9,0.64,96,96,0.31,RU,1634962560
15,katsuura,35.1333,140.3,66.31,43,2,18.14,JP,1634962560
16,constitucion,-35.3333,-72.4167,50.13,73,2,10.85,CL,1634962560
18,esperance,-33.8667,121.9,63.18,50,11,12.5,AU,1634962561
19,denham springs,30.4869,-90.9562,72.9,94,90,5.75,US,1634962561
20,nyurba,63.2842,118.3319,36.81,81,68,6.38,RU,1634962561
21,shimoda,34.6667,138.95,64.76,68,78,5.41,JP,1634962562
22,beringovskiy,63.05,179.3167,15.62,80,100,12.77,RU,1634962337
23,rikitea,-23.1203,-134.9692,74.16,84,7,19.75,PF,1634962562
24,pasrur,32.2641,74.6634,76.75,48,86,12.97,PK,1634962563
25,harper,4.375,-7.7169,76.93,87,79,7.58,LR,1634962563
26,yellowknife,62.456,-114.3525,42.42,71,20,19.57,CA,1634962563
27,aykhal,66.0,111.5,27.99,94,100,7.72,RU,1634962564
28,kapaa,22.0752,-159.319,80.58,86,40,11.5,US,1634962564
30,port alfred,-33.5906,26.891,63.75,68,35,8.21,ZA,1634962564
31,albany,42.6001,-73.9662,45.75,83,36,5.19,US,1634962507
32,kodiak,57.79,-152.4072,40.69,82,100,14.29,US,1634962568
33,naze,28.3667,129.4833,72.52,57,92,15.26,JP,1634962568
34,hermanus,-34.4187,19.2345,57.79,82,100,21.52,ZA,1634962569
35,tiksi,71.6872,128.8694,4.71,94,100,2.33,RU,1634962569
36,hilo,19.7297,-155.09,73.13,95,90,4.61,US,1634962559
38,kerman,30.2832,57.0788,53.47,31,0,4.25,IR,1634962478
39,tuktoyaktuk,69.4541,-133.0374,33.8,100,90,12.66,CA,1634962570
40,ushuaia,-54.8,-68.3,35.26,93,90,24.16,AR,1634962570
41,mount isa,-20.7333,139.5,94.77,24,98,16.11,AU,1634962570
42,khatanga,71.9667,102.5,6.3,91,99,13.06,RU,1634962571
43,arraial do cabo,-22.9661,-42.0278,68.32,82,1,13.42,BR,1634962571
44,ca mau,9.1769,105.15,85.64,70,93,5.46,VN,1634962571
45,poronaysk,49.2167,143.1167,45.73,52,42,14.29,RU,1634962572
46,codrington,-38.2667,141.9667,56.75,71,63,14.07,AU,1634962572
47,nizhnekamsk,55.6366,51.8245,45.39,76,0,15.66,RU,1634962438
48,east london,-33.0153,27.9116,59.94,82,0,8.05,ZA,1634962572
49,williamsburg,37.2707,-76.7075,64.74,86,75,0.0,US,1634962572
50,el paso,31.8001,-106.2005,75.02,39,20,4.61,US,1634962573
51,zhangye,38.9342,100.4517,55.47,27,19,3.47,CN,1634962573
52,ornskoldsvik,63.2909,18.7153,31.82,93,99,11.5,SE,1634962573
53,san quintin,30.4833,-115.95,63.05,86,4,12.82,MX,1634962411
54,natal,-5.795,-35.2094,81.25,78,75,9.22,BR,1634962304
55,torbay,47.6666,-52.7314,52.75,91,90,9.22,CA,1634962574
56,hoshangabad,22.75,77.7167,75.56,57,0,2.89,IN,1634962574
57,provideniya,64.3833,-173.3,26.26,75,100,8.43,RU,1634962574
59,saldanha,-33.0117,17.9442,58.26,78,84,20.04,ZA,1634962575
